region_key,region_label,button,year,layer,layer_name,depth_min_m,depth_max_m,o2_value_umol_kg,o2_baseline_2004_umol_kg,o2_change_from_2004_umol_kg,o2_change_from_2004_percent,color_mode,blue_intensity_percent,led_red,led_green,led_blue,rgb_tuple
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,3,2014,4,600-750m,600,750,32.141510009765625,33.1469612121582,-1.0054512023925781,-3.033313358522234,inverted,76.1,0,0,194,"(0, 0, 194)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,3,2014,5,750-900m,750,900,45.75752258300781,46.630619049072266,-0.8730964660644531,-1.8723673068668467,inverted,56.7,0,0,145,"(0, 0, 145)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,4,2019,1,100-250m,100,250,67.31050109863281,66.8492202758789,0.46128082275390625,0.6900317174235605,inverted,25.9,0,0,66,"(0, 0, 66)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,4,2019,2,250-400m,250,400,16.397525787353516,15.471203804016113,0.9263219833374023,5.987394355809221,inverted,98.5,0,0,251,"(0, 0, 251)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,4,2019,3,400-600m,400,600,17.52771759033203,16.736736297607422,0.7909812927246094,4.726018733041059,inverted,96.9,0,0,247,"(0, 0, 247)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,4,2019,4,600-750m,600,750,32.04021453857422,33.1469612121582,-1.1067466735839844,-3.3389084040018524,inverted,76.2,0,0,194,"(0, 0, 194)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,4,2019,5,750-900m,750,900,45.249183654785156,46.630619049072266,-1.3814353942871094,-2.9625070875283472,inverted,57.4,0,0,146,"(0, 0, 146)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,5,2024,1,100-250m,100,250,71.47966003417969,66.8492202758789,4.630439758300781,6.926692247406176,inverted,20.0,0,0,51,"(0, 0, 51)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,5,2024,2,250-400m,250,400,16.356569290161133,15.471203804016113,0.8853654861450195,5.72266707465382,inverted,98.6,0,0,251,"(0, 0, 251)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,5,2024,3,400-600m,400,600,18.563886642456055,16.736736297607422,1.8271503448486328,10.917005038251279,inverted,95.4,0,0,243,"(0, 0, 243)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,5,2024,4,600-750m,600,750,32.56533432006836,33.1469612121582,-0.5816268920898438,-1.7546914432581675,inverted,75.5,0,0,193,"(0, 0, 193)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,5,2024,5,750-900m,750,900,46.158653259277344,46.630619049072266,-0.4719657897949219,-1.012137088075634,inverted,56.1,0,0,143,"(0, 0, 143)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,1,2004,1,100-250m,100,250,66.8492202758789,66.8492202758789,0.0,0.0,normal,93.4,0,0,238,"(0, 0, 238)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,1,2004,2,250-400m,250,400,15.471203804016113,15.471203804016113,0.0,0.0,normal,20.1,0,0,51,"(0, 0, 51)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,1,2004,3,400-600m,400,600,16.736736297607422,16.736736297607422,0.0,0.0,normal,21.9,0,0,56,"(0, 0, 56)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,1,2004,4,600-750m,600,750,33.1469612121582,33.1469612121582,0.0,0.0,normal,45.3,0,0,116,"(0, 0, 116)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,1,2004,5,750-900m,750,900,46.630619049072266,46.630619049072266,0.0,0.0,normal,64.6,0,0,165,"(0, 0, 165)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,2,2009,1,100-250m,100,250,65.91380310058594,66.8492202758789,-0.9354171752929688,-1.3992940701964984,normal,92.1,0,0,235,"(0, 0, 235)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,2,2009,2,250-400m,250,400,15.372029304504395,15.471203804016113,-0.09917449951171875,-0.6410263917923077,normal,20.0,0,0,51,"(0, 0, 51)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,2,2009,3,400-600m,400,600,16.389347076416016,16.736736297607422,-0.34738922119140625,-2.0756090973427526,normal,21.5,0,0,55,"(0, 0, 55)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,2,2009,4,600-750m,600,750,32.584774017333984,33.1469612121582,-0.5621871948242188,-1.6960444465057334,normal,44.5,0,0,113,"(0, 0, 113)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,2,2009,5,750-900m,750,900,46.44548797607422,46.630619049072266,-0.18513107299804688,-0.3970161168206282,normal,64.3,0,0,164,"(0, 0, 164)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,3,2014,1,100-250m,100,250,64.96289825439453,66.8492202758789,-1.886322021484375,-2.821756205532009,normal,90.7,0,0,231,"(0, 0, 231)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,3,2014,2,250-400m,250,400,15.993393898010254,15.471203804016113,0.5221900939941406,3.3752389316892533,normal,20.9,0,0,53,"(0, 0, 53)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,3,2014,3,400-600m,400,600,17.231943130493164,16.736736297607422,0.4952068328857422,2.9588016688566325,normal,22.7,0,0,58,"(0, 0, 58)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,3,2014,4,600-750m,600,750,32.141510009765625,33.1469612121582,-1.0054512023925781,-3.033313358522234,normal,43.9,0,0,112,"(0, 0, 112)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,3,2014,5,750-900m,750,900,45.75752258300781,46.630619049072266,-0.8730964660644531,-1.8723673068668467,normal,63.3,0,0,161,"(0, 0, 161)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,4,2019,1,100-250m,100,250,67.31050109863281,66.8492202758789,0.46128082275390625,0.6900317174235605,normal,94.1,0,0,240,"(0, 0, 240)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,4,2019,2,250-400m,250,400,16.397525787353516,15.471203804016113,0.9263219833374023,5.987394355809221,normal,21.5,0,0,55,"(0, 0, 55)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,4,2019,3,400-600m,400,600,17.52771759033203,16.736736297607422,0.7909812927246094,4.726018733041059,normal,23.1,0,0,59,"(0, 0, 59)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,4,2019,4,600-750m,600,750,32.04021453857422,33.1469612121582,-1.1067466735839844,-3.3389084040018524,normal,43.8,0,0,112,"(0, 0, 112)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,4,2019,5,750-900m,750,900,45.249183654785156,46.630619049072266,-1.3814353942871094,-2.9625070875283472,normal,62.6,0,0,160,"(0, 0, 160)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,5,2024,1,100-250m,100,250,71.47966003417969,66.8492202758789,4.630439758300781,6.926692247406176,normal,100.0,0,0,255,"(0, 0, 255)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,5,2024,2,250-400m,250,400,16.356569290161133,15.471203804016113,0.8853654861450195,5.72266707465382,normal,21.4,0,0,55,"(0, 0, 55)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,5,2024,3,400-600m,400,600,18.563886642456055,16.736736297607422,1.8271503448486328,10.917005038251279,normal,24.6,0,0,63,"(0, 0, 63)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,5,2024,4,600-750m,600,750,32.56533432006836,33.1469612121582,-0.5816268920898438,-1.7546914432581675,normal,44.5,0,0,113,"(0, 0, 113)"
peru_chile_omz,Peru-Chile OMZ / Eastern Tropical South Pacific,5,2024,5,750-900m,750,900,46.158653259277344,46.630619049072266,-0.4719657897949219,-1.012137088075634,normal,63.9,0,0,163,"(0, 0, 163)"
